[Gene ID]	[Transcript ID]	[Product Description]	[Gene Type]	[Gene Name or Symbol]	[Entrez Gene ID]	[UniProt ID]	
PF3D7_0912000	PF3D7_0912000.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813397	Q8I332	
PF3D7_0912100	PF3D7_0912100.1	zinc finger protein, putative	protein coding	N/A	813398	Q8I331	
PF3D7_0912200	PF3D7_0912200.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	813399	Q8I330	
PF3D7_0912400	PF3D7_0912400.1	alkaline phosphatase, putative	protein coding	N/A	813401	Q8I328	
PF3D7_0912500	PF3D7_0912500.1	SAP domain-containing protein, putative	protein coding	N/A	813402	C0H535	
PF3D7_0912600	PF3D7_0912600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813403	Q8I326	
PF3D7_0912700	PF3D7_0912700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813404	Q8I325	
PF3D7_0912800	PF3D7_0912800.1	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6, putative	protein coding	GCD10	813405	Q8I324	
PF3D7_0912900	PF3D7_0912900.1	26S proteasome regulatory subunit RPN8, putative	protein coding	RPN8	813406	Q8I323	
PF3D7_0913000	PF3D7_0913000.1	conserved protein, unknown function	protein coding	N/A	813407	Q8I322	
PF3D7_0913100	PF3D7_0913100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813408	Q8I321	
PF3D7_0913200	PF3D7_0913200.1	elongation factor 1-beta	protein coding	EF-1beta	813409	Q8I320	
PF3D7_0913300	PF3D7_0913300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813410	Q8I319	
PF3D7_0913400	PF3D7_0913400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813411	Q8I318	
PF3D7_0913500	PF3D7_0913500.1	protease, putative	protein coding	N/A	813412	Q8I317	
PF3D7_0913600	PF3D7_0913600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813413	Q8I316	
PF3D7_0913700	PF3D7_0913700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813414	Q8I315	
PF3D7_0913800	PF3D7_0913800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813415	Q8I314	
PF3D7_0913900	PF3D7_0913900.1	arginine--tRNA ligase, putative	protein coding	RSSapi	813416	Q8I313	
PF3D7_0914000	PF3D7_0914000.1	pseudouridylate synthase, putative	protein coding	N/A	813417	Q8I312	
PF3D7_0914100	PF3D7_0914100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813418	C0H536	
PF3D7_0914200	PF3D7_0914200.1	phospholipid or glycerol acyltransferase, putative	protein coding	N/A	813419	Q8I310	
PF3D7_0914300	PF3D7_0914300.1	met-10+ like protein, putative	protein coding	N/A	813420	C0H537	
PF3D7_0914400	PF3D7_0914400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813421	Q8I308	
PF3D7_0914500	PF3D7_0914500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813422	Q8I307	
PF3D7_0914600	PF3D7_0914600.1	transcription elongation factor 1, putative	protein coding	ELF1	813423	Q8I306	
PF3D7_0914700	PF3D7_0914700.1	major facilitator superfamily-related transporter, putative	protein coding	MFR4	813424	Q8I305	
PF3D7_0914800	PF3D7_0914800.1	GINS complex subunit Psf3, putative	protein coding	N/A	813425	Q8I304	
PF3D7_0914900	PF3D7_0914900.1	BSD-domain protein, putative	protein coding	N/A	813426	Q8I303	
PF3D7_0915000	PF3D7_0915000.1	type II NADH:ubiquinone oxidoreductase	protein coding	NDH2	813427	Q8I302	
PF3D7_0915100	PF3D7_0915100.1	SUMO-conjugating enzyme UBC9	protein coding	UBC9	813428	Q8I301	
PF3D7_0915200	PF3D7_0915200.1	ribonuclease H2 subunit C, putative	protein coding	N/A	813429	Q8I300	
PF3D7_0915300	PF3D7_0915300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813430	Q8I2Z9	
PF3D7_0915400	PF3D7_0915400.1	6-phosphofructokinase	protein coding	PFK9	813431	Q8I2Z8	
PF3D7_0915500	PF3D7_0915500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813432	Q8I2Z7	
PF3D7_0915600	PF3D7_0915600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813433	Q8I2Z6	
PF3D7_0915700	PF3D7_0915700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813434	Q8I2Z5	
PF3D7_0915800	PF3D7_0915800.1	glycolipid transfer protein, putative	protein coding	GLTP	813435	Q8I2Z4	
PF3D7_0915900	PF3D7_0915900.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813436	Q8I2Z3	
PF3D7_0916000	PF3D7_0916000.1	major facilitator superfamily domain-containing protein, putative	protein coding	MFS2	813437	Q8I2Z2	
PF3D7_0916100	PF3D7_0916100.1	thioredoxin 3	protein coding	TRX3	813438	C0H538	
PF3D7_0916200	PF3D7_0916200.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813439	Q8I2Z0	
PF3D7_0916300	PF3D7_0916300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813440	Q8I2Y9	
PF3D7_0916400	PF3D7_0916400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813441	C0H539	
PF3D7_0916500	PF3D7_0916500.1	ubiquitin fusion degradation protein 1	protein coding	UFD1	813442	C0H540	
PF3D7_0916600	PF3D7_0916600.1	methyltransferase, putative	protein coding	N/A	813443	Q8I2Y6	
PF3D7_0916700	PF3D7_0916700.1	RNA-binding protein musashi, putative	protein coding	HoMu	813444	Q8I2Y5	
PF3D7_0916800	PF3D7_0916800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	9221967	C0H541	
PF3D7_0916900	PF3D7_0916900.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813445	Q8I2Y4	
PF3D7_0917000	PF3D7_0917000.1	merozoite organizing protein	protein coding	MOP	813446	Q8I2Y3	
PF3D7_0917100	PF3D7_0917100.1	N-glycosylase/DNA lyase, putative	protein coding	OGG1	813447	Q8I2Y2	
PF3D7_0917200	PF3D7_0917200.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	813448	Q8I2Y1	
PF3D7_0917300	PF3D7_0917300.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	813449	Q8I2Y0	
PF3D7_0917400	PF3D7_0917400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813450	Q8I2X9	
PF3D7_0917500	PF3D7_0917500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813451	Q8I2X8	
PF3D7_0917600	PF3D7_0917600.1	pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative	protein coding	PRP43	813452	Q8I2X7	
PF3D7_0917700	PF3D7_0917700.1	XPA binding protein 1, putative	protein coding	N/A	813453	Q8I2X6	
PF3D7_0917800	PF3D7_0917800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813454	Q8I2X5	
PF3D7_0917900	PF3D7_0917900.1	heat shock protein 70	protein coding	HSP70-2	813455	Q8I2X4	
PF3D7_0918000	PF3D7_0918000.1	glideosome-associated protein 50	protein coding	GAP50	813456	Q8I2X3	
PF3D7_0918100	PF3D7_0918100.1	cytochrome b5-like heme/steroid binding protein, putative	protein coding	N/A	813457	C0H542	
PF3D7_0918200	PF3D7_0918200.1	50S ribosomal protein L3, apicoplast, putative	protein coding	N/A	813458	C0H543	
PF3D7_0918300	PF3D7_0918300.1	eukaryotic translation initiation factor 3 subunit F, putative	protein coding	EIF3F	813459	Q8I2X0	
PF3D7_0918400	PF3D7_0918400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813460	C0H544	
PF3D7_0918500	PF3D7_0918500.1	telomerase RNA	non protein coding	TR	N/A	N/A	
PF3D7_0918600	PF3D7_0918600.1	ATP-dependent DNA helicase Q1	protein coding	RECQ1	813462	Q8I2W7	
PF3D7_0918700	PF3D7_0918700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813463	Q8I2W6	
PF3D7_0918800	PF3D7_0918800.1	dihydrouridine synthase, putative	protein coding	N/A	813464	Q8I2W5	
PF3D7_0918900	PF3D7_0918900.1	gamma-glutamylcysteine synthetase	protein coding	gammaGCS	813465	Q8I2W4	
PF3D7_0919000	PF3D7_0919000.1	nucleosome assembly protein	protein coding	NAPS	813466	Q8I2W3	
PF3D7_0919100	PF3D7_0919100.1	DnaJ protein, putative	protein coding	N/A	813467	Q8I2W2	
PF3D7_0919200	PF3D7_0919200.1	PPPDE peptidase, putative	protein coding	N/A	813468	Q8I2W1	
PF3D7_0919300	PF3D7_0919300.1	thioredoxin-like protein 1, putative	protein coding	TrxL1	813469	Q8I2W0	
PF3D7_0919400	PF3D7_0919400.1	protein disulfide isomerase	protein coding	PDI9	813470	Q8I2V9	
PF3D7_0919500	PF3D7_0919500.1	major facilitator superfamily domain-containing protein, putative	protein coding	MFS3	813471	Q8I2V8	
PF3D7_0919600	PF3D7_0919600.1	dolichyl-diphosphooligosaccharide--protein glycosyltransferase, putative	protein coding	N/A	813472	Q8I2V7	
PF3D7_0919700	PF3D7_0919700.1	pyridoxal 5'-phosphate dependent enzyme class III, putative	protein coding	N/A	813473	Q8I2V6	
PF3D7_0919800	PF3D7_0919800.1	TLD domain-containing protein	protein coding	N/A	813474	Q8I2V5	
PF3D7_0919900	PF3D7_0919900.1	regulator of chromosome condensation, putative	protein coding	N/A	813475	Q8I2V4	
PF3D7_0920000	PF3D7_0920000.1	long chain fatty acid elongation enzyme, putative	protein coding	ELO3	813476	C0H545	
PF3D7_0920100	PF3D7_0920100.1	chaperone, putative	protein coding	N/A	813477	C0H546	
PF3D7_0920200	PF3D7_0920200.1	CS domain protein, putative	protein coding	N/A	813478	Q8I2V1	
PF3D7_0920300	PF3D7_0920300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813479	Q8I2V0	
PF3D7_0920400	PF3D7_0920400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813480	Q8I2U9	
PF3D7_0920500	PF3D7_0920500.1	ADP-ribosylation factor, putative	protein coding	N/A	813481	Q8I2U8	
PF3D7_0920600	PF3D7_0920600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813482	Q8I2U7	
PF3D7_0920700	PF3D7_0920700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813483	Q8I2U6	
PF3D7_0920800	PF3D7_0920800.1	inosine-5'-monophosphate dehydrogenase	protein coding	IMPDH	813484	Q8I2U5	
PF3D7_0920900	PF3D7_0920900.1	U4/U6 snRNA-associated-splicing factor, putative	protein coding	PRP24	813485	Q8I2U4	
PF3D7_0921000	PF3D7_0921000.1	ubiquitin-conjugating enzyme, putative	protein coding	N/A	813486	Q8I2U3	
PF3D7_0921000	PF3D7_0921000.2	ubiquitin-conjugating enzyme, putative	protein coding	N/A	813486	Q8I2U3	
PF3D7_0921100	PF3D7_0921100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813487	C0H547	
PF3D7_0921200	PF3D7_0921200.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	813488	C0H548	
PF3D7_0921300	PF3D7_0921300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813489	Q8I2U0	
PF3D7_0921400	PF3D7_0921400.1	NifU-like scaffold protein, putative	protein coding	NifU	813490	Q8I2T9	
PF3D7_0921500	PF3D7_0921500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813491	Q8I2T8	
PF3D7_0921600	PF3D7_0921600.1	tetratricopeptide repeat protein, putative	protein coding	N/A	813492	Q8I2T7	
PF3D7_0921700	PF3D7_0921700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813493	Q8I2T6	
PF3D7_0921800	PF3D7_0921800.1	ribosome production factor 1, putative	protein coding	RPF1	813494	C0H549	
PF3D7_0921900	PF3D7_0921900.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813495	Q8I2T4	
PF3D7_0922000	PF3D7_0922000.1	dynein intermediate chain, putative	protein coding	N/A	813496	Q8I2T3	
PF3D7_0922100	PF3D7_0922100.1	ubiquitin-like protein, putative	protein coding	N/A	813497	Q8I2T2	
PF3D7_0922200	PF3D7_0922200.1	S-adenosylmethionine synthetase	protein coding	SAMS	813498	Q7K6A4	
PF3D7_0922300	PF3D7_0922300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813499	C0H550	
PF3D7_0922400	PF3D7_0922400.1	para-aminobenzoic acid synthetase	protein coding	pBAS	813500	Q8I2T0	
PF3D7_0922500	PF3D7_0922500.1	phosphoglycerate kinase	protein coding	PGK	813501	P27362	
PF3D7_0922600	PF3D7_0922600.1	glutamine synthetase, putative	protein coding	N/A	813502	C0H551	
PF3D7_0922700	PF3D7_0922700.1	pre-mRNA-splicing factor 18, putative	protein coding	PRP18	813503	Q8I2S9	
PF3D7_0922800	PF3D7_0922800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813504	C0H552	
PF3D7_0922900	PF3D7_0922900.1	3-oxoacyl-[acyl-carrier-protein] reductase	protein coding	FabG	813505	Q8I2S7	
PF3D7_0923000	PF3D7_0923000.1	DNA-directed RNA polymerase II subunit RPB3, putative	protein coding	RPB3	813506	Q8I2S6	
PF3D7_0923100	PF3D7_0923100.1	OTU domain-containing protein, putative	protein coding	N/A	813507	Q8I2S5	
PF3D7_0923200	PF3D7_0923200.1	nitric oxide synthase, putative	protein coding	NOS	813508	C0H553	
PF3D7_0923300	PF3D7_0923300.1	perforin-like protein 3	protein coding	PLP3	813509	Q8I2S3	
PF3D7_0923400	PF3D7_0923400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813510	Q8I2S2	
PF3D7_0923500	PF3D7_0923500.1	cyclin-dependent kinases regulatory subunit, putative	protein coding	N/A	813511	Q8I2S1	
PF3D7_0923600	PF3D7_0923600.1	lipoate-protein ligase 2	protein coding	LipL2	813512	Q8I2S0	
PF3D7_0923700	PF3D7_0923700.1	conserved protein, unknown function	protein coding	N/A	813513	C0H554	
PF3D7_0923800	PF3D7_0923800.1	thioredoxin reductase	protein coding	TRXR	813514	P61076	
PF3D7_0923800	PF3D7_0923800.2	thioredoxin reductase	protein coding	TRXR	813514	P61076	
PF3D7_0923900	PF3D7_0923900.1	RNA-binding protein, putative	protein coding	N/A	813515	Q8I2R8	
PF3D7_0924000	PF3D7_0924000.1	patatin-like phospholipase, putative	protein coding	N/A	813516	Q8I2R7	
PF3D7_0924100	PF3D7_0924100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813517	Q8I2R6	
PF3D7_0924200	PF3D7_0924200.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813518	Q8I2R5	
PF3D7_0924300	PF3D7_0924300.1	thiamine pyrophosphokinase	protein coding	TPK	813519	C0H556	
PF3D7_0924400	PF3D7_0924400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813520	Q8I2R3	
PF3D7_0924500	PF3D7_0924500.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	813521	C0H557	
PF3D7_0924600	PF3D7_0924600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813522	Q8I2R1	
PF3D7_0924700	PF3D7_0924700.1	splicing factor 3A subunit 3, putative	protein coding	SF3A3	813523	Q8I2R0	
PF3D7_0924800	PF3D7_0924800.1	telomeric repeat binding factor 1, putative	protein coding	TRF1	9221968	C0H558	
PF3D7_0924900	PF3D7_0924900.1	alpha-tubulin N-acetyltransferase, putative	protein coding	ATAT	813524	C0H559	
PF3D7_0925000	PF3D7_0925000.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813525	C0H560	
PF3D7_0925100	PF3D7_0925100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813526	Q8I2Q7	
PF3D7_0925200	PF3D7_0925200.1	ribosomal RNA-processing protein 8, putative	protein coding	RRP8	813527	Q8I2Q6	
PF3D7_0925300	PF3D7_0925300.1	proline--tRNA ligase, putative	protein coding	aPRS	813528	Q8I2Q5	
PF3D7_0925400	PF3D7_0925400.1	protein phosphatase-beta	protein coding	N/A	813529	Q8I2Q4	
PF3D7_0925500	PF3D7_0925500.1	thioredoxin-like protein 2	protein coding	TLP2	813530	C0H561	
PF3D7_0925600	PF3D7_0925600.1	zinc binding protein (Yippee), putative	protein coding	N/A	813531	Q8I2Q2	
PF3D7_0925700	PF3D7_0925700.1	histone deacetylase 1	protein coding	HDAC1	813532	Q7K6A1	
PF3D7_0925800	PF3D7_0925800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813533	Q8I2Q1	
PF3D7_0925900	PF3D7_0925900.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813534	Q8I2Q0	
PF3D7_0926000	PF3D7_0926000.1	protein kinase, putative	protein coding	N/A	813535	Q8I2P9	
PF3D7_0926100	PF3D7_0926100.1	protein kinase, putative	protein coding	N/A	813536	Q8I2P8	
PF3D7_0926200	PF3D7_0926200.1	conserved Plasmodium protein, unknown function	protein coding	N/A	9221969	C0H562	
PF3D7_0926300	PF3D7_0926300.1	protein kinase, putative	protein coding	N/A	813537	C0H563	
PF3D7_0926400	PF3D7_0926400.1	monocarboxylate transporter, putative	protein coding	N/A	813539	C0H564	
PF3D7_0926500	PF3D7_0926500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813540	Q8I2P4	
PF3D7_0926600	PF3D7_0926600.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	813541	C0H565	
PF3D7_0926700	PF3D7_0926700.1	glutamine-dependent NAD(+) synthetase, putative	protein coding	NADSYN	813542	Q8I2P2	
PF3D7_0926800	PF3D7_0926800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813543	Q8I2P1	
PF3D7_0926900	PF3D7_0926900.1	replication termination factor, putative	protein coding	N/A	813544	Q8I2P0	
PF3D7_0927000	PF3D7_0927000.1	CS domain protein, putative	protein coding	N/A	813545	Q8I2N9	
PF3D7_0927100	PF3D7_0927100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813546	Q8I2N8	
PF3D7_0927200	PF3D7_0927200.1	zinc finger protein, putative	protein coding	N/A	813547	C0H566	
PF3D7_0927300	PF3D7_0927300.1	fumarate hydratase, putative	protein coding	FH	813548	Q8I2N6	
PF3D7_0927400	PF3D7_0927400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813549	C0H567	
PF3D7_0927500	PF3D7_0927500.1	dynein light chain, putative	protein coding	N/A	813550	C0H568	
PF3D7_0927600	PF3D7_0927600.1	RNA-binding protein, putative	protein coding	N/A	813551	Q8I2N3	
PF3D7_0927700	PF3D7_0927700.1	serine/threonine protein phosphatase 4, putative	protein coding	PPP4	813552	Q8I2N2	
PF3D7_0927800	PF3D7_0927800.1	cytochrome c oxidase subunit 5B, putative	protein coding	COX5B	813553	Q8I2N1	
PF3D7_0927900	PF3D7_0927900.1	phosphatidylserine decarboxylase	protein coding	PSD	813554	Q8I2N0	
PF3D7_0928000	PF3D7_0928000.1	cytochrome c oxidase subunit 6B, putative	protein coding	COX6B	813555	Q8I2M9	
PF3D7_0928000	PF3D7_0928000.2	cytochrome c oxidase subunit 6B, putative	protein coding	COX6B	813555	Q8I2M9	
PF3D7_0928100	PF3D7_0928100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813556	Q8I2M8	
PF3D7_0928200	PF3D7_0928200.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813557	Q8I2M7	
PF3D7_0928300	PF3D7_0928300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813558	C0H569	
PF3D7_0928400	PF3D7_0928400.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	813559	Q8I2M5	
PF3D7_0928500	PF3D7_0928500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813560	Q8I2M4	
PF3D7_0928600	PF3D7_0928600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813561	Q8I2M3	
PF3D7_0928700	PF3D7_0928700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813562	Q8I2M2	
PF3D7_0928800	PF3D7_0928800.1	serine/threonine protein kinase, putative	protein coding	N/A	813563	Q8I0W2	
PF3D7_0928900	PF3D7_0928900.1	guanylate kinase	protein coding	GK	813564	Q8I2M1	
PF3D7_0929000	PF3D7_0929000.1	transcription initiation factor TFIID subunit 7, putative	protein coding	TAF7	813565	Q8I2M0	
PF3D7_0929100	PF3D7_0929100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813566	Q8I2L9	
PF3D7_0929200	PF3D7_0929200.1	RNA-binding protein, putative	protein coding	N/A	813567	C0H570	
PF3D7_0929300	PF3D7_0929300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813568	Q8I2L7	
PF3D7_0929400	PF3D7_0929400.1	high molecular weight rhoptry protein 2	protein coding	RhopH2	813569	C0H571	
PF3D7_0929500	PF3D7_0929500.1	conserved protein, unknown function	protein coding	N/A	813570	C0H572	
PF3D7_0929600	PF3D7_0929600.1	G2 protein, putative	protein coding	N/A	813571	Q8I2L4	
PF3D7_0929700	PF3D7_0929700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813572	C0H573	
PF3D7_0929800	PF3D7_0929800.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0929900	PF3D7_0929900.1	conserved Plasmodium protein, unknown function	protein coding	N/A	9221970	C0H574	
PF3D7_0930000	PF3D7_0930000.1	procollagen lysine 5-dioxygenase, putative	protein coding	N/A	813573	Q8I2L2	
PF3D7_0930100	PF3D7_0930100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813574,9221971	C0H575,C0H576	
PF3D7_0930200	PF3D7_0930200.1	leucine-rich repeat protein	protein coding	LRR8	N/A	N/A	
PF3D7_0930300	PF3D7_0930300.1	merozoite surface protein 1	protein coding	MSP1	813575	Q8I0U8	
PF3D7_0930400	PF3D7_0930400.1	zinc finger protein, putative	protein coding	N/A	813576	Q8I2L0	
PF3D7_0930400	PF3D7_0930400.2	zinc finger protein, putative	protein coding	N/A	813576	Q8I2L0	
PF3D7_0930500	PF3D7_0930500.1	diacylglycerol kinase, putative	protein coding	DGK1	813577	Q8I2K9	
PF3D7_0930600	PF3D7_0930600.1	peptidyl-prolyl cis-trans isomerase	protein coding	CYP72	813578	Q8I2K8	
PF3D7_0930700	PF3D7_0930700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813579	Q8I2K7	
PF3D7_0930800	PF3D7_0930800.1	conserved Plasmodium membrane protein, unknown function	protein coding	N/A	813580	C0H577	
PF3D7_0930900	PF3D7_0930900.1	NifU-like protein, putative	protein coding	NFU1	9221972	C0H578	
PF3D7_0931000	PF3D7_0931000.1	elongation factor Tu, putative	protein coding	N/A	813581	Q8I2K5	
PF3D7_0931100	PF3D7_0931100.1	nucleolar protein Nop52, putative	protein coding	N/A	813582	Q8I2K4	
PF3D7_0931200	PF3D7_0931200.1	selenoprotein	protein coding	Sel2	813583	C0Z3M5	
PF3D7_0931300	PF3D7_0931300.1	asparagine-rich antigen, putative	protein coding	N/A	813584	Q8I2K2	
PF3D7_0931400	PF3D7_0931400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813585	C0H579	
PF3D7_0931500	PF3D7_0931500.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813586	C0H580	
PF3D7_0931600	PF3D7_0931600.1	conserved protein, unknown function	protein coding	N/A	813587	Q8I2J9	
PF3D7_0931700	PF3D7_0931700.1	PIH1 domain-containing protein, putative	protein coding	N/A	813588	C0H581	
PF3D7_0931800	PF3D7_0931800.1	proteasome subunit beta type-6, putative	protein coding	N/A	813589	Q8I0U7	
PF3D7_0931900	PF3D7_0931900.1	adenylate kinase-like protein 2	protein coding	AKLP2	813590	C0H582	
PF3D7_0932000	PF3D7_0932000.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813591	C0H583	
PF3D7_0932100	PF3D7_0932100.1	protein MAM3, putative	protein coding	N/A	813592	C0H584	
PF3D7_0932200	PF3D7_0932200.1	profilin, putative	protein coding	PFN	813593	Q8I2J4	
PF3D7_0932300	PF3D7_0932300.1	M18 aspartyl aminopeptidase	protein coding	M18AAP	813594	Q8I2J3	
PF3D7_0932400	PF3D7_0932400.1	peptide chain release factor 1	protein coding	RF1	813595	Q8I2J2	
PF3D7_0932500	PF3D7_0932500.1	palmitoyltransferase DHHC6, putative	protein coding	DHHC6	813596	Q8I2J1	
PF3D7_0932600	PF3D7_0932600.1	apicoplast ribosomal protein S6, putative	protein coding	RPS6	813597	Q8I2J0	
PF3D7_0932700	PF3D7_0932700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	4794208	Q8I2I9	
PF3D7_0932800	PF3D7_0932800.1	importin alpha re-exporter, putative	protein coding	CSE1	813598	Q8I2I8	
PF3D7_0932900	PF3D7_0932900.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813599	Q8I2I7	
PF3D7_0933000	PF3D7_0933000.1	mRNA processing protein, putative	protein coding	N/A	813600	Q8I0W1	
PF3D7_0933100	PF3D7_0933100.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813601	C0H585	
PF3D7_0933200	PF3D7_0933200.1	calcyclin binding protein, putative	protein coding	N/A	813602	C0H586	
PF3D7_0933300	PF3D7_0933300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813603	C0H587	
PF3D7_0933400	PF3D7_0933400.1	conserved Plasmodium protein, unknown function	protein coding	N/A	N/A	N/A	
PF3D7_0933500	PF3D7_0933500.1	gamma-tubulin complex component, putative	protein coding	N/A	813604	Q8I2I3	
PF3D7_0933600	PF3D7_0933600.1	mitochondrial-processing peptidase subunit beta, putative	protein coding	MAS1	813605	Q8I2I2	
PF3D7_0933700	PF3D7_0933700.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813606	C0H589	
PF3D7_0933800	PF3D7_0933800.1	delta tubulin, putative	protein coding	N/A	813607	Q8I2I0	
PF3D7_0933900	PF3D7_0933900.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813608	Q8I2H9	
PF3D7_0934000	PF3D7_0934000.1	histidine--tRNA ligase, putative	protein coding	N/A	813609	Q8I2H8	
PF3D7_0934100	PF3D7_0934100.1	TFIIH basal transcription factor complex helicase XPD subunit	protein coding	XPD	813610	Q8I2H7	
PF3D7_0934200	PF3D7_0934200.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813611	Q8I2H6	
PF3D7_0934300	PF3D7_0934300.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813612	Q8I2H5	
PF3D7_0934400	PF3D7_0934400.1	transcription factor with AP2 domain(s), putative	protein coding	ApiAP2	813613	Q8I2H4	
PF3D7_0934500	PF3D7_0934500.1	V-type proton ATPase subunit E, putative	protein coding	N/A	813614	Q8I2H3	
PF3D7_0934600	PF3D7_0934600.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813615	Q8I2H2	
PF3D7_0934700	PF3D7_0934700.1	UBX domain, putative	protein coding	N/A	813616	Q8I2H1	
PF3D7_0934800	PF3D7_0934800.1	cAMP-dependent protein kinase catalytic subunit	protein coding	PKAc	813617	Q7K6A0	
PF3D7_0934900	PF3D7_0934900.1	conserved Plasmodium protein, unknown function	protein coding	N/A	813618	Q8I2H0	
PF3D7_0935000	PF3D7_0935000.1	U2 small nuclear ribonucleoprotein B'', putative	protein coding	N/A	813619	Q8I2G9	
PF3D7_0935100	PF3D7_0935100.1	protein kish, putative	protein coding	KSH1	9221974	C0H590	
PF3D7_0935200	PF3D7_0935200.1	vacuolar protein sorting-associated protein 33, putative	protein coding	VPS33	813620	Q8I2G8	
PF3D7_0935300	PF3D7_0935300.1	phosphatidylinositol N-acetylglucosaminyltransferase subunit P, putative	protein coding	N/A	813621	Q8I2G7	
PF3D7_0935400	PF3D7_0935400.1	gametocyte development protein 1	protein coding	GDV1	813622	Q8I2G6	
